

,,Filter Size,Logged,Missed
,,0x189,949294,4294063112,45110
,,0x18C,934384,4294078023,45111
,,0x209,938043,4294074363,45110
,,0x187,927139,4294085264,45107
,,0x18E,935959,4294076448,45111
,,0x207,945143,4294067260,45107
,,0x20B,946537,4294065870,45111
,,0x20D,946665,4294065740,45109
,,0x287,953347,4294059056,45107
,,0x289,953553,4294058853,45110
,,0x28B,953652,4294058755,45111
,,0x28D,953147,4294059258,45109
,,0x307,954260,4294058143,45107
,,0x309,954295,4294058111,45110
,,0x30B,954443,4294057964,45111
,,0x30D,954374,4294058031,45109
,,0x387,954461,4294057942,45107
,,0x389,954522,4294057884,45110
,,0x38B,954619,4294057788,45111
,,0x38D,954376,4294058029,45109
,,0x407,953605,4294058798,45107
,,0x409,954234,4294058172,45110
,,0x40B,954661,4294057746,45111
,,0x40D,954594,4294057811,45109

,,25,1300585,7592
,,0x385,983407,4294029000,45111
,,0x18B,967801,4294044606,45111
,,0x188,981357,4294031050,45111
,,0x18D,979257,4294033148,45109
,,0x18A,980911,4294031496,45111
,,0x189,994375,4294018031,45110
,,0x18C,979380,4294033027,45111
,,0x209,983084,4294029322,45110
,,0x187,972239,4294040164,45107
,,0x18E,980956,4294031451,45111
,,0x207,990241,4294022162,45107
,,0x20B,991640,4294020767,45111
,,0x20D,991765,4294020640,45109
,,0x287,998448,4294013955,45107
,,0x289,998655,4294013751,45110
,,0x28B,998761,4294013646,45111
,,0x28D,998254,4294014151,45109
,,0x307,999367,4294013036,45107
,,0x309,999398,4294013008,45110
,,0x30B,999553,4294012854,45111
,,0x30D,999483,4294012922,45109
,,0x387,999568,4294012835,45107
,,0x389,999628,4294012778,45110
,,0x38B,999730,4294012677,45111
,,0x38D,999484,4294012921,45109
,,0x407,998709,4294013694,45107
,,0x409,999344,4294013062,45110
,,0x40B,999772,4294012635,45111
,,0x40D,999703,4294012702,45109

,,26,1307607,570
,,0x385,1028518,4293983889,45111
,,0x18B,1012911,4293999496,45111
,,0x188,1026468,4293985939,45111
,,0x18D,1024366,4293988039,45109
,,0x18A,1026022,4293986385,45111
,,0x189,1039484,4293972922,45110
,,0x18C,1024487,4293987920,45111
,,0x209,1028191,4293984215,45110
,,0x187,1017346,4293995057,45107
,,0x18E,1026060,4293986347,45111
,,0x207,1035348,4293977055,45107
,,0x20B,1036751,4293975656,45111
,,0x20D,1036873,4293975532,45109
,,0x287,1043555,4293968848,45107
,,0x289,1043764,4293968642,45110
,,0x28B,1043872,4293968535,45111
,,0x28D,1043363,4293969042,45109
,,0x307,1044474,4293967929,45107
,,0x309,1044508,4293967898,45110
,,0x30B,1044664,4293967743,45111
,,0x30D,1044592,4293967813,45109
,,0x387,1044674,4293967729,45107
,,0x389,1044738,4293967668,45110
,,0x38B,1044841,4293967566,45111
,,0x38D,1044593,4293967812,45109
,,0x407,1043816,4293968587,45107
,,0x409,1044454,4293967952,45110
,,0x40B,1044883,4293967524,45111
,,0x40D,1044812,4293967593,45109

,,27,1308158,19
,,0x385,1073629,4293938778,45111
,,0x18B,1058022,4293954385,45111
,,0x188,1071579,4293940828,45111
